APN,SitusAddress
1-169-8,51 8TH ST OAKLAND 94607
1-129-20,418 JEFFERSON ST OAKLAND 94607
10-817-3,581 VERNON ST OAKLAND 94610
10-816-7,619 MARIPOSA AVE OAKLAND 94610
10-807-34,3070 RICHMOND BLVD OAKLAND 94611
10-806-23,3054 RICHMOND BLVD OAKLAND 94611
10-801-6,2801 HARRISON ST OAKLAND 94611
10-786-16,339 PALM AVE OAKLAND 94610
10-782-16,360 VAN BUREN AVE OAKLAND 94610
10-771-32,260 PARK VIEW TER OAKLAND 94610
10-765-8,492 STATEN AVE OAKLAND 94610
10-765-9,492 STATEN AVE OAKLAND 94610
10-765-10,492 STATEN AVE OAKLAND 94610
10-765-11,492 STATEN AVE OAKLAND 94610
10-765-12,492 STATEN AVE OAKLAND 94610
10-765-13,492 STATEN AVE OAKLAND 94610
10-765-38,492 STATEN AVE OAKLAND 94610
10-765-39,492 STATEN AVE OAKLAND 94610
10-765-40,492 STATEN AVE OAKLAND 94610
10-765-41,492 STATEN AVE OAKLAND 94610
10-765-42,492 STATEN AVE OAKLAND 94610
10-765-43,492 STATEN AVE OAKLAND 94610
10-765-32,492 STATEN AVE OAKLAND 94610
10-765-33,492 STATEN AVE  1002 OAKLAND 94610
10-765-34,492 STATEN AVE OAKLAND 94610
10-765-35,492 STATEN AVE OAKLAND 94610
10-765-36,492 STATEN AVE OAKLAND 94610
10-765-37,492 STATEN AVE OAKLAND 94610
10-765-26,492 STATEN AVE  801 OAKLAND 94610
10-765-27,492 STATEN AVE OAKLAND 94610
10-765-28,492 STATEN AVE OAKLAND 94610
10-765-29,492 STATEN AVE OAKLAND 94610
10-765-30,492 STATEN AVE OAKLAND 94610
10-765-31,492 STATEN AVE OAKLAND 94610
10-765-20,492 STATEN AVE OAKLAND 94610
10-765-21,492 STATEN AVE OAKLAND 94610
10-765-22,492 STATEN AVE OAKLAND 94610
10-765-23,492 STATEN AVE OAKLAND 94610
10-765-24,492 STATEN AVE OAKLAND 94610
10-765-25,492 STATEN AVE OAKLAND 94610
10-765-14,492 STATEN AVE OAKLAND 94610
10-765-15,492 STATEN AVE OAKLAND 94610
10-765-16,492 STATEN AVE OAKLAND 94610
10-765-17,492 STATEN AVE OAKLAND 94610
10-765-18,492 STATEN AVE OAKLAND 94610
10-765-19,492 STATEN AVE OAKLAND 94610
11-900-31-1,856 TRESTLE GLEN RD OAKLAND 94610
11-900-26-1,818 TRESTLE GLEN RD OAKLAND 94610
11-900-39-56,836 TRESTLE GLEN RD OAKLAND 94610
11-900-30-1,850 TRESTLE GLEN RD OAKLAND 94610
11-895-14,1000 SUNNYHILLS RD OAKLAND 94610
11-891-15,926 ROSEMOUNT RD OAKLAND 94610
11-885-20-2,677 LONGRIDGE RD OAKLAND 94610
11-883-45,676 LONGRIDGE RD OAKLAND 94610
12-974-6,460 W MACARTHUR BLVD OAKLAND 94609
12-927-1-3,412 MONTE VISTA AVE OAKLAND 94611
13-1176-13-2,1081 53RD ST OAKLAND 94608
13-1111-4,227 JOHN ST OAKLAND 94611
16-1414-7,6475 COLBY ST OAKLAND 94618
20-212-22,1717 16TH AVE OAKLAND 94606
20-177-1-5,1550 5TH AVE OAKLAND 94606
21-286-10,1200 E 21ST ST OAKLAND 94607
21-286-9,1218 E 21ST ST OAKLAND 94606
22-351-53,2651 22ND AVE OAKLAND 94606
22-334-16,2440 10TH AVE OAKLAND 94606
22-332-2,2429 13TH AVE OAKLAND 94606
22-324-19,2302 17TH AVE OAKLAND 94606
22-307-15,334 NEWTON AVE OAKLAND 94606
23-437-3-1,1186 TRESTLE GLEN RD OAKLAND 94610
23-436-20-1,851 TRESTLE GLEN RD OAKLAND 94610
23-430-25,614 HADDON RD OAKLAND 94610
23-405-16,863 CLEVELAND ST OAKLAND 94606
24-565-56,1255 TRESTLE GLEN RD OAKLAND 94610
24-565-57,1263 TRESTLE GLEN RD OAKLAND 94610
27-846-33-2,2708 SUNSET AVE OAKLAND 94601
3-71-15,619 15TH ST OAKLAND 94612
3-47-3-1,783 20TH ST OAKLAND 94612
3-41-9,1926 M L KING JR WAY OAKLAND 94612
