APN,SitusAddress
1-185-4,283 9TH ST OAKLAND 94607
1-173-7,627 OAK ST OAKLAND 94607
10-834-10,631 VALLE VISTA AVE OAKLAND 94610
10-833-6,714 JEAN ST OAKLAND 94610
10-827-42,502 MIRA VISTA AVE OAKLAND 94610
10-823-1,351 SANTA CLARA AVE OAKLAND 94610
10-812-15,3530 HARRISON ST OAKLAND 94611
10-804-16,60 GARLAND AVE OAKLAND 94611
10-804-15,68 GARLAND AVE OAKLAND 94611
10-802-9,222 29TH ST OAKLAND 94611
10-783-14,399 BELLEVUE AVE OAKLAND 94610
10-781-21,507 VAN BUREN AVE OAKLAND 94610
10-779-10,429 EUCLID AVE OAKLAND 94610
10-774-14,329 PERKINS ST OAKLAND 94610
10-774-6,293 PERKINS ST OAKLAND 94610
11-874-35,633 SANTA RAY AVE OAKLAND 94610
11-872-11,3635 BALFOUR AVE OAKLAND 94610
11-868-21,774 CALMAR AVE OAKLAND 94610
11-861-54,1052 ANNERLEY RD OAKLAND 94610
11-856-33,475 CROFTON AVE OAKLAND 94610
11-849-11,599 KENMORE AVE OAKLAND 94610
12-998-28,4156 TERRACE ST OAKLAND 94611
12-997-5,4195A MONTGOMERY ST OAKLAND 94611
12-997-21,4120 GILBERT ST OAKLAND 94611
12-997-19,4116 GILBERT ST OAKLAND 94611
12-996-24,258 40TH STREET WAY OAKLAND 94611
12-992-19-1,103 41ST ST OAKLAND 94611
12-989-3,69 ECHO AVE OAKLAND 94611
12-987-14,4040 PANAMA CT OAKLAND 94611
12-984-5,271 38TH ST OAKLAND 94611
12-978-16,3823 OPAL ST OAKLAND 94609
12-978-30,3884 SHAFTER AVE OAKLAND 94609
12-977-13,3869 SHAFTER AVE OAKLAND 94609
12-974-32,457 38TH ST OAKLAND 94609
12-972-17,3811 RUBY ST OAKLAND 94609
12-972-27,3806 CLARKE ST OAKLAND 94609
12-972-25,470 38TH ST OAKLAND 94609
12-970-15,3819 CLARKE ST OAKLAND 94609
12-970-16,3811 CLARKE ST OAKLAND 94609
12-964-16,704 W MACARTHUR BLVD OAKLAND 94609
12-963-16,710 APGAR ST OAKLAND 94609
12-963-13,694 APGAR ST OAKLAND 94609
12-963-18,722 APGAR ST OAKLAND 94609
12-959-37,835 APGAR ST OAKLAND 94608
12-958-3,3725 WEST ST OAKLAND 94608
12-957-18,974 37TH ST OAKLAND 94608
12-957-8,926 37TH ST OAKLAND 94608
12-957-15,960 37TH ST OAKLAND 94608
12-956-28,918 W MACARTHUR BLVD OAKLAND 94608
12-956-11,969 APGAR ST OAKLAND 94608
12-955-63,981 39TH ST OAKLAND 94608
12-955-70,945 39TH ST OAKLAND 94608
12-953-24,1011 YERBA BUENA AVE OAKLAND 94608
12-948-37,829 37TH ST OAKLAND 94608
12-947-19-3,732 36TH ST OAKLAND 94609
12-945-11,450 37TH ST OAKLAND 94609
12-937-29,37 RIO VISTA AVE OAKLAND 94611
12-937-24,15 RIO VISTA AVE OAKLAND 94611
12-935-24,3926 WILDA AVE OAKLAND 94611
12-934-4-1,687 FAIRMOUNT AVE OAKLAND 94611
12-933-3,270 MONTE VISTA AVE OAKLAND 94611
12-1021-26,919 41ST ST OAKLAND 94608
12-1020-8,922 41ST ST OAKLAND 94608
12-1020-14,962 41ST ST OAKLAND 94608
12-1020-2,4125 MARKET ST OAKLAND 94608
12-1020-30,959 42ND ST OAKLAND 94608
12-1018-16,4020 MARKET ST OAKLAND 94608
12-1018-10,862 40TH ST OAKLAND 94608
