APN,SitusAddress
12-1018-8,850 40TH ST OAKLAND 94608
12-1017-7,4129 WEST ST OAKLAND 94608
12-1015-9-1,740 40TH ST OAKLAND 94609
12-1013-51-2,539 42ND ST OAKLAND 94609
12-1010-62,458 RICH ST OAKLAND 94609
12-1009-29,4160 WEBSTER ST OAKLAND 94609
12-1002-14,326 GARNET ST OAKLAND 94609
13-1175-13,997 53RD ST OAKLAND 94608
13-1171-16,976 45TH ST OAKLAND 94608
13-1171-23,953 46TH ST OAKLAND 94608
13-1170-5,4701 MARKET ST OAKLAND 94608
13-1169-29,863 52ND ST OAKLAND 94608
13-1169-28,865 52ND ST OAKLAND 94608
13-1169-6,854 47TH ST OAKLAND 94608
13-1169-7,868 47TH ST OAKLAND 94608
13-1168-14,5131 WEST ST OAKLAND 94608
13-1168-13,5133 WEST ST OAKLAND 94608
13-1168-6,829 52ND ST OAKLAND 94608
13-1167-52,807 47TH ST OAKLAND 94608
13-1167-23,878 46TH ST OAKLAND 94608
13-1167-5,4609 WEST ST OAKLAND 94608
13-1166-46,4532 MARKET ST OAKLAND 94608
13-1166-27,883 46TH ST OAKLAND 94608
13-1166-17,864 45TH ST OAKLAND 94608
13-1166-24,4520 MARKET ST OAKLAND 94608
13-1165-10,676 45TH ST OAKLAND 94609
13-1165-9,668 45TH ST OAKLAND 94609
13-1165-27,715 46TH ST OAKLAND 94609
13-1165-15,722 45TH ST OAKLAND 94609
13-1165-35,726 45TH ST OAKLAND 94609
13-1164-23-1,777 47TH ST OAKLAND 94609
13-1164-9,698 46TH ST OAKLAND 94609
13-1163-31,815 51ST ST OAKLAND 94608
13-1160-10-1,556 46TH ST OAKLAND 94609
13-1155-8,4810 SHATTUCK AVE OAKLAND 94609
13-1152-9,4919 CLARKE ST OAKLAND 94609
13-1151-3,465 49TH ST OAKLAND 94609
13-1151-14,488 48TH ST OAKLAND 94609
13-1151-12,464 48TH ST OAKLAND 94609
13-1147-11,5001 WEBSTER ST OAKLAND 94609
13-1147-8,5021 WEBSTER ST OAKLAND 94609
13-1147-17,444 50TH ST OAKLAND 94609
13-1146-7,4987 SHAFTER AVE OAKLAND 94609
13-1146-22,5006 WEBSTER ST OAKLAND 94609
13-1145-12,420 48TH ST OAKLAND 94609
13-1145-14,4804 WEBSTER ST OAKLAND 94609
13-1145-7,4835 SHAFTER AVE OAKLAND 94609
13-1145-2,419 49TH ST OAKLAND 94609
13-1141-5,380 49TH ST OAKLAND 94609
13-1137-4-2,4975 DESMOND ST OAKLAND 94618
13-1137-10,324 49TH ST OAKLAND 94609
13-1136-20,4962 DESMOND ST OAKLAND 94618
13-1136-15,314 49TH ST OAKLAND 94609
13-1136-17,4908 DESMOND ST OAKLAND 94618
13-1119-21,138 ECHO AVE OAKLAND 94611
13-1119-25,112 ECHO AVE OAKLAND 94611
13-1116-6-4,4344 HOWE ST OAKLAND 94611
13-1115-5,4373 HOWE ST OAKLAND 94611
13-1115-33,4370 MONTGOMERY ST OAKLAND 94611
13-1115-10,4351 HOWE ST OAKLAND 94611
13-1115-2,1925 PLEASANT VALLEY AVE OAKLAND 94611
13-1114-28,4234 MONTGOMERY ST OAKLAND 94611
13-1111-5,223 JOHN ST OAKLAND 94611
13-1111-13,4237 MONTGOMERY ST OAKLAND 94611
13-1111-15,4233 MONTGOMERY ST OAKLAND 94611
13-1111-34,4276 GILBERT ST OAKLAND 94611
13-1103-12,383 44TH ST OAKLAND 94609
13-1103-27,378 44TH ST OAKLAND 94609
13-1099-20,478 44TH ST OAKLAND 94609
13-1099-14,462 44TH ST OAKLAND 94609
13-1099-13,460 44TH ST OAKLAND 94609
13-1097-15,464 42ND ST OAKLAND 94609
13-1097-10,438 42ND ST OAKLAND 94609
13-1097-34,463 43RD ST OAKLAND 94609
13-1097-17,468 42ND ST OAKLAND 94609
13-1096-55,535 43RD ST OAKLAND 94609
13-1093-30,687 45TH ST OAKLAND 94609
13-1093-29,707 45TH ST OAKLAND 94609
13-1093-21,757 45TH ST OAKLAND 94609
13-1093-31-1,683 45TH ST OAKLAND 94609
13-1092-8,680 43RD ST OAKLAND 94609
13-1092-10,692 43RD ST OAKLAND 94609
13-1092-30,705 44TH ST OAKLAND 94609
13-1090-34,847 43RD ST OAKLAND 94608
13-1090-31,863 43RD ST OAKLAND 94608
13-1090-12,846 42ND ST OAKLAND 94608
13-1089-41,860 43RD ST OAKLAND 94608
13-1089-42,858 43RD ST OAKLAND 94608
13-1089-19,890 43RD ST OAKLAND 94608
13-1089-16,870 43RD ST OAKLAND 94608
13-1089-18,886 43RD ST OAKLAND 94608
13-1088-3,4415 WEST ST OAKLAND 94608
13-1087-8,932 44TH ST OAKLAND 94608
13-1087-9,936 44TH ST OAKLAND 94608
13-1087-18,988 44TH ST OAKLAND 94608
13-1087-24,953 45TH ST OAKLAND 94608
13-1086-28,927 44TH ST OAKLAND 94608
13-1086-13,972 43RD ST OAKLAND 94608
13-1085-14,988 42ND ST OAKLAND 94608
13-1085-24,969 43RD ST OAKLAND 94608
13-1085-30,929 43RD ST OAKLAND 94608
13-1085-13,984 42ND ST OAKLAND 94608
13-1082-11,1015 44TH ST OAKLAND 94608
13-1082-10,1017 44TH ST EMERYVILLE 94608
14-1275-11-2,429 57TH ST OAKLAND 94609
14-1275-14-1,5672 VICENTE ST OAKLAND 94609
14-1274-8,5739 HERMANN ST OAKLAND 94609
14-1274-10,5731 HERMANN ST OAKLAND 94609
14-1274-24,5760 VICENTE ST OAKLAND 94609
14-1269-34,518 FOREST ST OAKLAND 94618
14-1266-15,5647 MILES AVE OAKLAND 94618
14-1266-67,5834 BIRCH CT OAKLAND 94618
14-1266-68,5830 BIRCH CT OAKLAND 94618
14-1266-63,6032 CHABOT RD OAKLAND 94618
14-1263-18,368 HUDSON ST OAKLAND 94618
14-1262-17,408A HUDSON ST OAKLAND 94618
14-1262-40,5496 TAFT AVE OAKLAND 94618
14-1262-37,5529 LAWTON AVE OAKLAND 94618
14-1254-41,5368 LOCKSLEY AVE OAKLAND 94618
14-1254-42,5378 LOCKSLEY AVE OAKLAND 94618
14-1253-10,5355 BOYD AVE OAKLAND 94618
14-1251-8,5371 MANILA AVE OAKLAND 94618
14-1251-19,5329 MANILA AVE OAKLAND 94618
14-1249-50-2,5369 BRYANT AVE OAKLAND 94618
14-1249-21,334 CLIFTON ST OAKLAND 94618
14-1249-43,5399 BRYANT AVE OAKLAND 94618
14-1237-5,5117 MANILA AVE OAKLAND 94618
14-1237-15-1,5130 LAWTON AVE OAKLAND 94618
14-1236-26,5248 LAWTON AVE OAKLAND 94618
14-1236-29,5260 LAWTON AVE OAKLAND 94618
14-1235-51,408 CAVOUR ST OAKLAND 94618
14-1235-9,5253 BOYD AVE OAKLAND 94618
14-1235-40,5255 LAWTON AVE OAKLAND 94618
14-1234-1,5174 SHAFTER AVE OAKLAND 94618
14-1234-8-1,5133 LAWTON AVE OAKLAND 94618
14-1234-7-1,401 CAVOUR ST OAKLAND 94618
14-1232-10,5160 MILES AVE OAKLAND 94618
14-1232-1-1,5173 SHAFTER AVE OAKLAND 94618
14-1231-1,5274 LOCKSLEY AVE OAKLAND 94618
14-1231-29,5260 LOCKSLEY AVE OAKLAND 94618
14-1230-13,5221 LOCKSLEY AVE OAKLAND 94618
14-1230-14,5215 LOCKSLEY AVE OAKLAND 94618
14-1230-15,462 CAVOUR ST OAKLAND 94618
14-1227-32,5264 CLAREMONT AVE OAKLAND 94618
14-1227-18,5118 CLARKE ST OAKLAND 94609
14-1227-21,5138 CLARKE ST OAKLAND 94609
14-1216-4,5113 SHATTUCK AVE OAKLAND 94609
14-1214-22,682 53RD ST OAKLAND 94609
14-1213-22,5416 DOVER ST OAKLAND 94609
14-1213-12,634 54TH ST OAKLAND 94609
14-1212-34,625 56TH ST OAKLAND 94609
14-1211-9,626 56TH ST OAKLAND 94609
14-1211-12,636 56TH ST OAKLAND 94609
14-1208-15-1,758 54TH ST OAKLAND 94609
14-1208-14,752 54TH ST OAKLAND 94609
14-1203-9-2,820 51ST ST OAKLAND 94608
14-1201-23,833 53RD ST OAKLAND 94608
14-1199-9,812 54TH ST OAKLAND 94608
14-1198-7-3,824 55TH ST OAKLAND 94608
14-1198-26,813 56TH ST OAKLAND 94608
14-1197-14,890 55TH ST OAKLAND 94608
14-1197-7,862 55TH ST OAKLAND 94608
14-1194-33,881 53RD ST OAKLAND 94608
14-1194-31,867 53RD ST OAKLAND 94608
14-1194-22,5230 MARKET ST OAKLAND 94608
14-1193-16,940 52ND ST OAKLAND 94608
14-1191-6,5519 MARKET ST OAKLAND 94608
15-1381-13,520 61ST ST OAKLAND 94609
15-1381-6,517 62ND ST OAKLAND 94609
15-1380-8-1,526 62ND ST OAKLAND 94609
15-1378-16,580 63RD ST OAKLAND 94609
15-1378-17,584 63RD ST OAKLAND 94609
15-1378-12,566 63RD ST OAKLAND 94609
15-1377-42,549 63RD ST OAKLAND 94609
15-1377-7,554 62ND ST OAKLAND 94609
15-1376-36,575 62ND ST OAKLAND 94609
15-1373-4,5821 RACINE ST OAKLAND 94609
15-1373-23,588 58TH ST OAKLAND 94609
15-1373-53,517 59TH ST OAKLAND 94609
15-1372-20,5926 WHITNEY ST OAKLAND 94609
15-1371-5,641 60TH ST OAKLAND 94609
15-1370-17,620 58TH ST OAKLAND 94609
15-1370-2,637 59TH ST OAKLAND 94609
15-1361-6,638 61ST ST OAKLAND 94609
15-1359-38,5811 DOVER ST OAKLAND 94609
15-1358-29,727 60TH ST OAKLAND 94609
15-1358-10,746 59TH ST OAKLAND 94609
15-1357-26,761 61ST ST OAKLAND 94609
15-1357-14,748 60TH ST OAKLAND 94609
15-1352-9,814 60TH ST OAKLAND 94608
15-1349-21-1,5761 MARKET ST OAKLAND 94608
15-1341-16,1019 61ST ST OAKLAND 94608
15-1341-2,972 60TH ST OAKLAND 94608
15-1340-12,1004 59TH ST OAKLAND 94608
15-1340-15,1016 59TH ST OAKLAND 94608
15-1340-11,1002 59TH ST OAKLAND 94608
15-1335-3,1028 STANFORD AVE OAKLAND 94608
15-1334-20,5862 MARSHALL ST OAKLAND 94608
15-1333-10,5827 MARSHALL ST OAKLAND 94608
15-1333-9,5831 MARSHALL ST OAKLAND 94608
15-1333-18-1,1170 POWELL ST OAKLAND 94608
15-1333-15,1154 POWELL ST OAKLAND 94608
15-1333-23,5832 FREMONT ST OAKLAND 94608
15-1332-19,5846 VALLEJO ST OAKLAND 94608
15-1311-22-4,5516 VALLEJO ST OAKLAND 94608
15-1310-22,5524 FREMONT ST OAKLAND 94608
15-1310-20,5512 FREMONT ST OAKLAND 94608
15-1310-25,5546 FREMONT ST OAKLAND 94608
15-1307-2,5623 GASKILL ST OAKLAND 94608
15-1307-1,1053 AILEEN ST OAKLAND 94608
15-1302-29,1005 57TH ST OAKLAND 94608
15-1300-1-2,957 56TH ST OAKLAND 94608
15-1298-12,972 AILEEN ST OAKLAND 94608
15-1297-7,970 57TH ST OAKLAND 94608
15-1296-11,983 GRACE AVE OAKLAND 94608
15-1288-24,919 AILEEN ST OAKLAND 94608
15-1285-67,874 ARLINGTON AVE OAKLAND 94608
15-1285-6-1,856 AILEEN ST OAKLAND 94608
15-1284-11,866 56TH ST OAKLAND 94608
15-1281-3,5757 DOVER ST OAKLAND 94609
15-1280-22,5728 DOVER ST OAKLAND 94609
15-1278-16-1,614 57TH ST OAKLAND 94609
15-1277-54,570 57TH ST OAKLAND 94609
16-1526-4,6215 DOVER ST OAKLAND 94609
16-1515-12,1092 67TH ST OAKLAND 94608
16-1505-3,1119 65TH ST OAKLAND 94608
16-1505-4,1123 65TH ST OAKLAND 94608
16-1468-9,1184 OCEAN AVE OAKLAND 94608
16-1468-11,1192 OCEAN AVE OAKLAND 94608
16-1468-10,1188 OCEAN AVE OAKLAND 94608
16-1465-6,1182 62ND ST OAKLAND 94608
16-1465-7,1188 62ND ST OAKLAND 94608
16-1462-22,5938 VALLEJO ST OAKLAND 94608
16-1460-14,5900 MARSHALL ST OAKLAND 94608
16-1454-25,1081 67TH ST OAKLAND 94608
16-1454-1,1064 66TH ST OAKLAND 94608
16-1454-11,1084 66TH ST OAKLAND 94608
16-1453-29,1092 65TH ST OAKLAND 94608
16-1453-11,1090 65TH ST OAKLAND 94608
16-1452-5,1052 65TH ST OAKLAND 94608
16-1452-9,1068 65TH ST OAKLAND 94608
16-1451-1-2,1097 65TH ST OAKLAND 94608
16-1451-15,6424 SAN PABLO AVE OAKLAND 94608
16-1451-7,6427 SALEM ST OAKLAND 94608
16-1449-17,1076 ALCATRAZ AVE OAKLAND 94608
16-1444-13,1018 62ND ST OAKLAND 94608
16-1442-12,1008 61ST ST OAKLAND 94608
16-1440-24,961 63RD ST OAKLAND 94608
16-1438-7,940 63RD ST OAKLAND 94608
16-1433-14,740 61ST ST OAKLAND 94609
16-1432-31,733 65TH ST OAKLAND 94609
16-1432-14,762 ALCATRAZ AVE OAKLAND 94609
16-1432-27,765 65TH ST OAKLAND 94609
16-1430-27,780 65TH ST OAKLAND 94609
16-1430-30,792 65TH ST OAKLAND 94609
16-1430-22-1,6525 TREMONT ST OAKLAND 94609
16-1427-30,681 65TH ST OAKLAND 94609
16-1425-21,683 66TH ST OAKLAND 94609
16-1425-3,638 FAIRVIEW ST OAKLAND 94609
16-1424-47,6434 RAYMOND ST OAKLAND 94609
16-1424-56,6518 RAYMOND ST OAKLAND 94609
16-1424-31,6457 IRWIN CT OAKLAND 94609
16-1424-55,6514 RAYMOND ST OAKLAND 94609
16-1415-16,476 ALCATRAZ AVE OAKLAND 94609
16-1415-12,458 ALCATRAZ AVE OAKLAND 94609
16-1415-13,464 ALCATRAZ AVE OAKLAND 94609
16-1412-40,6452 REGENT ST OAKLAND 94618
16-1411-38,6448 HILLEGASS AVE OAKLAND 94618
16-1411-9,6475 BENVENUE AVE OAKLAND 94618
16-1411-12,6457 BENVENUE AVE OAKLAND 94618
16-1411-32,6432 HILLEGASS AVE OAKLAND 94618
16-1410-14,6436 BENVENUE AVE OAKLAND 94618
16-1409-23,327 ALCATRAZ AVE OAKLAND 94618
16-1409-3,320 63RD ST OAKLAND 94618
16-1407-27,6112 HILLEGASS AVE OAKLAND 94618
16-1406-7,377 60TH ST OAKLAND 94618
16-1406-16,5915 CLAREMONT AVE OAKLAND 94618
16-1404-16,388 61ST ST OAKLAND 94618
16-1403-8,360 62ND ST OAKLAND 94618
16-1401-15,419 ALCATRAZ AVE OAKLAND 94609
16-1401-12-1,431 ALCATRAZ AVE OAKLAND 94609
16-1394-46,413 61ST ST OAKLAND 94609
16-1394-23,450 60TH ST OAKLAND 94609
16-1394-34,445 61ST ST OAKLAND 94609
16-1394-32-1,453 61ST ST OAKLAND 94609
16-1393-23,448 61ST ST OAKLAND 94609
16-1392-32,447 63RD ST OAKLAND 94609
16-1388-15,6028 TELEGRAPH AVE OAKLAND 94609
16-1387-13-1,474 MCAULEY ST OAKLAND 94609
19-92-1,2705 E 11TH ST OAKLAND 94601
19-92-6,2735 E 11TH ST OAKLAND 94601
19-87-10,2646 E 9TH ST OAKLAND 94601
19-86-7,2733 E 10TH ST OAKLAND 94601
19-84-13,825 PORTWOOD AVE OAKLAND 94601
19-83-2,2711 E 9TH ST OAKLAND 94601
19-83-11,835 LISBON AVE OAKLAND 94601
2-83-26,184 9TH ST OAKLAND 94607
20-209-6-1,1733 21ST AVE OAKLAND 94606
20-209-13,2014 E 17TH ST OAKLAND 94606
20-208-7,2149 E 19TH ST OAKLAND 94606
20-208-4,2129 E 19TH ST OAKLAND 94606
20-207-7,2229 E 19TH ST OAKLAND 94606
20-205-14,1722 23RD AVE OAKLAND 94606
20-204-9,1921 IRVING AVE OAKLAND 94601
20-199-5,2027 E 17TH ST OAKLAND 94606
20-197-1,1809 E 17TH ST OAKLAND 94606
20-189-2-1,815 E 17TH ST OAKLAND 94606
20-185-2,421 E 17TH ST OAKLAND 94606
20-180-11,1532 2ND AVE OAKLAND 94606
20-179-2,321 FOOTHILL BLVD OAKLAND 94606
20-175-11,732 E 15TH ST OAKLAND 94606
20-171-8,1519 12TH AVE OAKLAND 94606
20-165-3,1727 FOOTHILL BLVD OAKLAND 94606
20-164-3,1823 FOOTHILL BLVD OAKLAND 94606
20-164-16,1822 E 15TH ST OAKLAND 94606
20-163-11,1920 E 15TH ST OAKLAND 94606
20-162-2,2011 FOOTHILL BLVD OAKLAND 94606
20-162-15,2018 E 15TH ST OAKLAND 94606
20-161-18,2110 E 15TH ST OAKLAND 94606
20-161-3-3,2119 FOOTHILL BLVD OAKLAND 94606
20-160-21,2230 GLEASON WAY OAKLAND 94606
20-160-8,2238 E 15TH ST OAKLAND 94606
20-154-9-1,1418 24TH AVE OAKLAND 94601
20-151-5,2219 E 15TH ST OAKLAND 94606
20-151-1,1430 22ND AVE OAKLAND 94606
20-149-5,2031 E 15TH ST OAKLAND 94606
20-148-3,1925 E 15TH ST OAKLAND 94606
20-146-14-2,1711 MARIN WAY OAKLAND 94606
20-131-10,226 INTERNATIONAL BLVD OAKLAND 94606
21-293-27,2449 E 22ND ST OAKLAND 94601
21-293-26,2447 E 22ND ST OAKLAND 94601
21-292-31,2349 E 22ND ST OAKLAND 94601
21-292-8,2372 E 21ST ST OAKLAND 94601
21-290-3,2121 21ST AVE OAKLAND 94606
21-290-31,1941 E 22ND ST OAKLAND 94606
21-289-22,2114 17TH AVE OAKLAND 94606
21-289-33,1817 E 22ND ST OAKLAND 94606
21-288-5,2121 17TH AVE OAKLAND 94606
21-287-4,2131 14TH AVE OAKLAND 94606
21-283-1,2140 9TH AVE OAKLAND 94606
21-282-8,2125 9TH AVE OAKLAND 94606
21-281-13,736 E 21ST ST OAKLAND 94606
21-281-11,2111 8TH AVE OAKLAND 94606
21-280-20,2118 5TH AVE OAKLAND 94606
21-280-21,2124 5TH AVE OAKLAND 94606
21-280-14,548 E 21ST ST OAKLAND 94606
21-276-1,501 E 20TH ST OAKLAND 94606
21-273-12,1924 7TH AVE OAKLAND 94606
21-272-12-3,726 E 20TH ST OAKLAND 94606
21-261-19,1930 13TH AVE OAKLAND 94606
21-258-4,1621 E 21ST ST OAKLAND 94606
21-258-3,1615 E 21ST ST OAKLAND 94606
21-257-19,2020 17TH AVE OAKLAND 94606
21-257-15,1724 E 20TH ST OAKLAND 94606
21-256-17,1816 E 20TH ST OAKLAND 94606
21-256-2-1,1807 E 21ST ST OAKLAND 94606
21-256-23,2010 18TH AVE OAKLAND 94606
21-255-17,1902 E 20TH ST OAKLAND 94606
21-255-2,1923 E 21ST ST OAKLAND 94606
21-253-7,2053 22ND AVE OAKLAND 94606
21-252-32,2237 E 21ST ST OAKLAND 94606
21-252-28,2243 E 21ST ST OAKLAND 94606
21-246-9,1933 22ND AVE OAKLAND 94606
21-246-16,1918 21ST AVE OAKLAND 94606
21-245-6,1939 21ST AVE OAKLAND 94606
21-245-9-1,2035 SONOMA WAY OAKLAND 94606
21-240-18,1922 14TH AVE OAKLAND 94606
21-240-2-1,1417 E 20TH ST OAKLAND 94606
21-236-1,1850 10TH AVE OAKLAND 94607
21-235-13,908 E 18TH ST OAKLAND 94606
21-228-14,251 ATHOL AVE OAKLAND 94606
21-223-10,1704 3RD AVE OAKLAND 94606
22-372-12,1682 E 32ND ST OAKLAND 94602
22-371-30,1661 E 32ND ST OAKLAND 94602
22-369-14-1,1615 E 31ST ST OAKLAND 94602
22-367-6,2907 21ST AVE OAKLAND 94606
22-367-12,2010 E 29TH ST OAKLAND 94606
22-366-15-1,1924 E 28TH ST OAKLAND 94606
22-357-19,1368 E 28TH ST OAKLAND 94606
22-356-32,1301 E 28TH ST OAKLAND 94606
22-356-15,1352 E 27TH ST OAKLAND 94606
22-352-10,2020 E 26TH ST OAKLAND 94606
22-351-30-1,2522 HIGHLAND AVE OAKLAND 94606
22-351-69,2554 WAKEFIELD AVE OAKLAND 94606
22-349-13,1942 E 25TH ST OAKLAND 94606
22-347-12,2534 14TH AVE OAKLAND 94606
22-344-23,2500 11TH AVE OAKLAND 94606
22-334-5,2427 11TH AVE OAKLAND 94606
22-331-1,1373 E 25TH ST OAKLAND 94606
22-329-13-6,1825 E 25TH ST OAKLAND 94606
22-328-3,2421 21ST AVE OAKLAND 94606
22-328-8-1,2020 E 24TH ST OAKLAND 94606
22-328-13,1936 E 24TH ST OAKLAND 94606
22-327-53,2230 E 24TH ST OAKLAND 94606
22-326-42,2315 23RD AVE OAKLAND 94606
22-326-11,2128 E 23RD ST OAKLAND 94606
22-325-20,1921 E 24TH ST OAKLAND 94606
22-324-9,1826 E 23RD ST OAKLAND 94606
22-322-5,2315 14TH AVE OAKLAND 94606
22-320-9,1116 E 23RD ST OAKLAND 94606
22-316-19,727 E 24TH ST OAKLAND 94606
22-316-22,2335 9TH AVE OAKLAND 94606
22-314-27,464 VAN DYKE AVE OAKLAND 94606
22-313-18,324 PORTLAND AVE OAKLAND 94606
22-313-6,457 VAN DYKE AVE OAKLAND 94606
22-313-5,463 VAN DYKE AVE OAKLAND 94606
22-312-2,349 PORTLAND AVE OAKLAND 94606
22-311-6,451 ATHOL AVE OAKLAND 94606
22-311-17,428 HADDON RD OAKLAND 94606
22-311-1,474 HADDON RD OAKLAND 94606
22-310-8,463 HANOVER AVE OAKLAND 94606
22-310-47,456 HANOVER AVE OAKLAND 94606
22-310-34,445 HADDON RD OAKLAND 94606
22-309-6,373 HANOVER AVE OAKLAND 94606
22-303-8,816 E 22ND ST OAKLAND 94606
22-302-33-1,2222 9TH AVE OAKLAND 94606
22-302-34,2228 9TH AVE OAKLAND 94606
22-300-7,2239 14TH AVE OAKLAND 94606
22-299-4,2216 14TH AVE OAKLAND 94606
22-297-19,1938 E 22ND ST OAKLAND 94606
22-297-33,1943 E 23RD ST OAKLAND 94606
22-296-27,2145 E 23RD ST OAKLAND 94606
23-506-9-1,1701 MACARTHUR BLVD OAKLAND 94602
23-496-1,3732 LINWOOD AVE OAKLAND 94602
23-495-42,3709 LINWOOD AVE OAKLAND 94602
23-490-1,3760 ARDLEY AVE OAKLAND 94602
23-489-21,3734 GLEN PARK RD OAKLAND 94602
23-488-4,1447 EXCELSIOR AVE OAKLAND 94602
23-487-19-1,1427 E 36TH ST OAKLAND 94602
23-482-30-1,1363 E 36TH ST OAKLAND 94602
23-469-2,811 PROSPECT AVE OAKLAND 94610
23-468-23,570 ATHOL AVE OAKLAND 94606
23-468-6,577 MONTCLAIR AVE OAKLAND 94606
23-465-4,687 CAPELL ST OAKLAND 94610
23-440-13,814 MACARTHUR BLVD OAKLAND 94610
23-431-7,731 MCKINLEY AVE OAKLAND 94610
23-431-5,711 MCKINLEY AVE OAKLAND 94610
23-413-6,519 WESLEY AVE OAKLAND 94606
23-413-7,511 WESLEY AVE OAKLAND 94606
23-410-15,515 HADDON RD OAKLAND 94606
23-409-16,664 BROOKLYN AVE OAKLAND 94606
23-408-16,730 BROOKLYN AVE OAKLAND 94606
23-406-1,546 ZORAH ST OAKLAND 94606
23-395-42-1,2918 PARK BLVD OAKLAND 94610
23-393-11,1116 E 33RD ST OAKLAND 94610
23-390-35,1036 BAYVIEW AVE OAKLAND 94610
23-388-3,1125 BELLA VISTA AVE OAKLAND 94610
24-551-30,4656 DOLORES AVE OAKLAND 94602
24-548-9,4329 LEACH AVE OAKLAND 94602
24-541-17,4324 LA CRESTA AVE OAKLAND 94602
24-527-31,3822 GLEN PARK RD OAKLAND 94602
24-523-22,3827 LINWOOD AVE OAKLAND 94602
24-521-32,3814 LA CRESTA AVE OAKLAND 94602
24-520-19-7,3811 CANON AVE OAKLAND 94602
25-734-37,1616 25TH AVE OAKLAND 94601
25-734-21,1726 26TH AVE OAKLAND 94601
25-734-3,1727 26TH AVE OAKLAND 94601
25-732-8,2738 E 16TH ST OAKLAND 94601
25-732-12-2,1612 27TH AVE OAKLAND 94601
25-731-5,1729 28TH AVE OAKLAND 94601
25-729-5,2880 E 16TH ST OAKLAND 94601
25-727-3,2821 FOOTHILL BLVD OAKLAND 94601
25-726-17,3020 E 19TH ST OAKLAND 94601
25-726-23,2914 E 19TH ST OAKLAND 94601
25-726-21,2926 E 19TH ST OAKLAND 94601
25-725-5,3005 E 19TH ST OAKLAND 94601
25-722-6,3015 E 17TH ST OAKLAND 94601
