APN,SitusAddress
10-793-48,3126 HARRISON ST OAKLAND 94611
10-793-24-1,215 OAKLAND AVE OAKLAND 94611
10-793-12,317 OAKLAND AVE OAKLAND 94611
10-793-46,3120 HARRISON ST OAKLAND 94611
10-793-19,245 OAKLAND AVE OAKLAND 94611
10-793-40-1,3042 HARRISON ST OAKLAND 94611
10-792-2,163 PERRY PL OAKLAND 94610
10-791-1-5,185 PERRY PL OAKLAND 94610
10-791-23,382 ORANGE ST OAKLAND 94610
10-791-1-4,448 ORANGE ST OAKLAND 94610
10-790-5,409 ADAMS ST OAKLAND 94610
10-790-38-1,424 VERNON ST OAKLAND 94610
10-790-17,375 ADAMS ST OAKLAND 94610
10-790-36-2,414 VERNON ST OAKLAND 94610
10-790-13,387 ADAMS ST OAKLAND 94610
10-787-26,364 JAYNE AVE OAKLAND 94610
10-786-20,302 PERKINS ST OAKLAND 94610
10-786-22,308 WARWICK AVE OAKLAND 94610
10-786-25,318 WARWICK AVE OAKLAND 94610
10-785-19,361 MACARTHUR BLVD OAKLAND 94610
10-785-48,278 EUCLID AVE OAKLAND 94610
10-784-9,375 EUCLID AVE OAKLAND 94610
10-782-8,379 STATEN AVE OAKLAND 94610
10-782-10,395 STATEN AVE OAKLAND 94610
10-782-5,367 STATEN AVE OAKLAND 94610
10-781-20,402 EUCLID AVE OAKLAND 94610
10-780-28,455 LAGUNITAS AVE OAKLAND 94610
10-780-17-1,423 BURK ST OAKLAND 94610
10-780-20,428 EUCLID AVE OAKLAND 94610
10-780-26,431 LAGUNITAS AVE OAKLAND 94610
10-778-15,430 STATEN AVE OAKLAND 94610
10-778-21,408 STATEN AVE OAKLAND 94610
10-778-6,425 BELLEVUE AVE OAKLAND 94610
10-777-2,409 STATEN AVE OAKLAND 94610
10-774-36,278 JAYNE AVE OAKLAND 94610
10-774-37,282 JAYNE AVE OAKLAND 94610
10-771-33,256 PARK VIEW TER OAKLAND 94610
10-771-15,337 LENOX AVE OAKLAND 94610
10-769-6,181 MONTECITO AVE OAKLAND 94610
10-767-8,485 ELLITA AVE OAKLAND 94610
11-876-38,757 SANTA RAY AVE OAKLAND 94610
11-869-51,851 CALMAR AVE OAKLAND 94610
11-866-6,3853 BALFOUR AVE OAKLAND 94610
11-866-20,3832 LAKESHORE AVE OAKLAND 94610
11-863-12,4020 LAKESHORE AVE OAKLAND 94610
11-863-49,724 ARIMO AVE OAKLAND 94610
11-859-3,530 KENMORE AVE OAKLAND 94610
11-857-2,605 BOULEVARD WAY OAKLAND 94610
11-856-17,538 FAIRBANKS AVE OAKLAND 94610
11-856-30,494 FAIRBANKS AVE OAKLAND 94610
11-856-29-2,498 FAIRBANKS AVE OAKLAND 94610
11-856-41,517 CROFTON AVE OAKLAND 94610
11-856-39,511 CROFTON AVE OAKLAND 94610
11-856-44,529 CROFTON AVE OAKLAND 94610
11-856-47,543 CROFTON AVE OAKLAND 94610
11-856-53,565 CROFTON AVE OAKLAND 94610
11-856-38,501 CROFTON AVE OAKLAND 94610
11-856-5,1069 WARFIELD AVE OAKLAND 94610
11-856-42,521 CROFTON AVE OAKLAND 94610
11-855-14,485 BOULEVARD WAY OAKLAND 94610
11-855-16,495 BOULEVARD WAY OAKLAND 94610
11-855-8,518 CROFTON AVE OAKLAND 94610
11-854-15,494 BOULEVARD WAY PIEDMONT 94610
11-854-8,470 BOULEVARD WAY OAKLAND 94610
11-853-9,1053 WALKER AVE OAKLAND 94610
11-853-18,462 WELDON AVE OAKLAND 94610
11-853-27,3808 GRAND AVE OAKLAND 94610
11-853-28,3814 GRAND AVE OAKLAND 94610
11-852-15,488 WELDON AVE OAKLAND 94610
11-852-34,499 FAIRBANKS AVE OAKLAND 94610
11-852-35,499 FAIRBANKS AVE OAKLAND 94610
11-852-7,507 FAIRBANKS AVE OAKLAND 94610
11-851-7,957 SCOTT ST OAKLAND 94610
11-851-4,993 SCOTT ST OAKLAND 94610
11-851-2,527 FAIRBANKS AVE OAKLAND 94610
11-850-2,545 FAIRBANKS AVE OAKLAND 94610
11-849-20-1,574 ROSAL AVE OAKLAND 94610
11-846-1,551 WELDON AVE OAKLAND 94610
11-846-7,536 PRINCE ST OAKLAND 94610
11-845-6,908 ERIE ST OAKLAND 94610
11-844-11,853 WALKER AVE OAKLAND 94610
11-844-12,847 WALKER AVE OAKLAND 94610
11-844-16,821 WALKER AVE OAKLAND 94610
11-844-4-2,887 WALKER AVE OAKLAND 94610
11-844-15,827 WALKER AVE OAKLAND 94610
11-843-8,863 VERMONT ST OAKLAND 94610
11-843-20,842 WALKER AVE OAKLAND 94610
11-843-4,917 VERMONT ST OAKLAND 94610
11-843-5,909 VERMONT ST OAKLAND 94610
11-842-19,840 VERMONT ST OAKLAND 94610
11-842-9,841 WARFIELD AVE OAKLAND 94610
11-842-3,493 PRINCE ST OAKLAND 94610
11-842-21,856 VERMONT ST OAKLAND 94610
11-842-12,819 WARFIELD AVE OAKLAND 94610
11-842-16,820 VERMONT ST OAKLAND 94610
11-841-1,503 PRINCE ST OAKLAND 94610
11-841-14,850 WARFIELD AVE OAKLAND 94610
11-841-8,837 YORK ST OAKLAND 94610
11-840-22,872 YORK ST OAKLAND 94610
11-839-22,870 ERIE ST OAKLAND 94610
11-839-4,3561 LAKESHORE AVE OAKLAND 94610
11-839-1,551 PRINCE ST OAKLAND 94610
11-838-31,722 RAND AVE OAKLAND 94610
11-838-40,762 RAND AVE OAKLAND 94610
11-837-13,492 WICKSON AVE OAKLAND 94610
11-837-7,749 WARFIELD AVE OAKLAND 94610
11-837-6,753 WARFIELD AVE OAKLAND 94610
11-837-25,505 MANDANA BLVD OAKLAND 94610
11-837-39,544 GLENVIEW AVE OAKLAND 94610
11-837-24,501 MANDANA BLVD OAKLAND 94610
11-836-11,743 WALKER AVE OAKLAND 94610
11-836-9,747 WALKER AVE OAKLAND 94610
12-999-12,4105 TERRACE ST OAKLAND 94611
12-999-23,4127 TERRACE ST OAKLAND 94611
12-998-20,4116 TERRACE ST OAKLAND 94611
12-998-17,4100 TERRACE ST OAKLAND 94611
12-997-22,4124 GILBERT ST OAKLAND 94611
12-997-17,4102 GILBERT ST OAKLAND 94611
12-996-15,4029 HOWE ST OAKLAND 94611
12-995-7,4181 HOWE ST OAKLAND 94611
12-995-19,4117 HOWE ST OAKLAND 94611
12-995-17,4131 HOWE ST OAKLAND 94611
12-995-25,4104 MONTGOMERY ST OAKLAND 94611
12-995-18,4123 HOWE ST OAKLAND 94611
12-995-37,4190 MONTGOMERY ST OAKLAND 94611
12-995-29,4120 MONTGOMERY ST OAKLAND 94611
12-994-29,4176 HOWE ST OAKLAND 94611
12-994-22,4144 HOWE ST OAKLAND 94611
12-994-16,168 41ST ST OAKLAND 94611
12-992-2,72 GLEN AVE OAKLAND 94611
12-990-7-2,32 ENTRADA AVE OAKLAND 94611
12-990-24,31 ENTRADA AVE OAKLAND 94611
12-989-22,925 ROSE AVE OAKLAND 94611
12-989-5,81 ECHO AVE OAKLAND 94611
12-989-19,945 ROSE AVE OAKLAND 94611
12-988-23-3,112 MONTE CRESTA AVE OAKLAND 94611
12-988-5,89 LINDA AVE OAKLAND 94611
12-988-11,839 KINGSTON AVE OAKLAND 94611
12-988-4,87 LINDA AVE OAKLAND 94611
12-987-43,119 MONTE CRESTA AVE OAKLAND 94611
12-987-8-2,51 GLEN AVE OAKLAND 94611
12-987-7-1,47 GLEN AVE OAKLAND 94611
12-987-10,4031 PANAMA CT OAKLAND 94611
12-987-35,91 MONTE CRESTA AVE OAKLAND 94611
12-986-46,3872 HOWE ST OAKLAND 94611
12-986-42,3856 HOWE ST OAKLAND 94611
12-986-51-4,3894 HOWE ST OAKLAND 94611
12-985-20,3814 CERRITO AVE OAKLAND 94611
12-984-7,265 38TH ST OAKLAND 94611
12-979-15,3771 MANILA AVE OAKLAND 94609
12-979-20,356 W MACARTHUR BLVD  A OAKLAND 94609
12-979-18,3763 MANILA AVE OAKLAND 94609
12-978-22-2,388 38TH ST OAKLAND 94609
12-978-24,3820 SHAFTER AVE OAKLAND 94609
12-978-22-1,386 38TH ST OAKLAND 94609
12-977-7-1,3917 SHAFTER AVE OAKLAND 94609
12-977-24,3896 WEBSTER ST OAKLAND 94609
12-976-2-2,411 38TH ST OAKLAND 94609
12-974-26,479 38TH ST OAKLAND 94609
12-974-47,458 W MACARTHUR BLVD OAKLAND 94609
12-974-35,451 38TH ST OAKLAND 94609
12-974-48,3760 LATIMER PL OAKLAND 94609
12-974-1,473 38TH ST OAKLAND 94609
12-974-34,453 38TH ST  A OAKLAND 94609
12-974-31,459 38TH ST OAKLAND 94609
12-973-52,3923 WEBSTER ST OAKLAND 94609
12-973-35,3954 RUBY ST OAKLAND 94609
12-973-24,3814 RUBY ST OAKLAND 94609
12-973-28,3898 RUBY ST OAKLAND 94609
12-972-7-1,3929 RUBY ST OAKLAND 94609
12-972-14,3825 RUBY ST OAKLAND 94609
12-972-9,3917 RUBY ST OAKLAND 94609
12-972-15,3823 RUBY ST OAKLAND 94609
12-972-35,3852 CLARKE ST OAKLAND 94609
12-970-10-1,3845 CLARKE ST OAKLAND 94609
12-970-19,480 38TH ST OAKLAND 94609
12-967-27,3838 M L KING JR WAY OAKLAND 94609
12-966-42,545 W MACARTHUR BLVD OAKLAND 94609
12-965-20-2,776 37TH ST OAKLAND 94609
12-965-18,716 37TH ST OAKLAND 94609
12-965-22,3704 WEST ST OAKLAND 94608
12-965-26,717 W MACARTHUR BLVD OAKLAND 94609
12-964-38,689 APGAR ST OAKLAND 94609
12-964-36,703 APGAR ST OAKLAND 94609
12-964-32,723 APGAR ST OAKLAND 94609
12-964-13,690 W MACARTHUR BLVD OAKLAND 94609
12-964-24,3818 WEST ST OAKLAND 94608
12-963-24,3864 WEST ST OAKLAND 94608
12-963-31,707 39TH ST OAKLAND 94609
12-963-8,666 APGAR ST OAKLAND 94609
12-963-10,676 APGAR ST OAKLAND 94609
12-963-4,3863 GROVE ST OAKLAND 94609
12-963-12,684 APGAR ST OAKLAND 94609
12-963-2,3869 M L KING JR WAY OAKLAND 94609
12-963-6,3855 M L KING JR WAY OAKLAND 94609
12-963-3,3867 M L KING JR WAY OAKLAND 94609
12-963-21,3852 WEST ST OAKLAND 94608
12-963-5,3857 M L KING JR WAY OAKLAND 94609
12-962-11,702 39TH ST OAKLAND 94609
12-962-10,698 39TH ST OAKLAND 94609
12-962-3,656 39TH ST OAKLAND 94609
12-962-18,734 39TH ST OAKLAND 94609
12-962-23,739 40TH ST OAKLAND 94609
12-962-33,673 40TH ST OAKLAND 94609
12-962-34,669 40TH ST OAKLAND 94609
12-962-13,712 39TH ST OAKLAND 94609
12-961-17,861 40TH ST OAKLAND 94608
12-961-16-4,863 40TH ST OAKLAND 94608
12-961-16-5,869 40TH ST OAKLAND 94608
12-960-6,3917 WEST ST OAKLAND 94608
12-960-11,3879 WEST ST OAKLAND 94608
12-959-11,828 W MACARTHUR BLVD OAKLAND 94608
12-959-23,3820 MARKET ST OAKLAND 94608
12-959-30,869 APGAR ST OAKLAND 94608
12-958-32,877 W MACARTHUR BLVD OAKLAND 94608
